Date,Actual_Return,HS_VaR,HS_ES,Normal_VaR,Normal_ES,StudentT_VaR,StudentT_ES,GARCH_VaR,GARCH_ES
2017-04-05,-0.004383291992158146,-0.020048395259971156,-0.02361572977741315,-0.020723172836860707,-0.023949631456565944,-0.02849441555384404,-0.04859794808942612,-0.019415052553206733,-0.022473930911648104
2017-04-06,-0.0019669135219911324,-0.020048395259971156,-0.02361572977741315,-0.02081456091292191,-0.02404520332880114,-0.028059856610226162,-0.046621592844497815,-0.01736070945620368,-0.020114934897908197
2017-04-07,-0.0027358677568871423,-0.020048395259971156,-0.02361572977741315,-0.02082735986654941,-0.024058771761266355,-0.02796075017209455,-0.04621481035251469,-0.015200076872397798,-0.017636618215544644
2017-04-10,-0.003628992933027602,-0.020048395259971156,-0.02361572977741315,-0.020822706299700403,-0.024053772327274223,-0.027993105326230464,-0.04634797593320745,-0.014780906401732349,-0.017152023260484775
2017-04-11,-0.0031616903597506208,-0.020048395259971156,-0.02361572977741315,-0.020890451341418544,-0.024116825783834964,-0.028241729892510083,-0.04705275783299758,-0.015211748666678794,-0.0176367715725757
2017-04-12,-0.002563883857720774,-0.020048395259971156,-0.02361572977741315,-0.020729796905943423,-0.023940726495301465,-0.02844948842650431,-0.04835914618958426,-0.014998935974486137,-0.017393643774591745
2017-04-13,-0.00827223740166673,-0.020048395259971156,-0.02361572977741315,-0.020783792048937856,-0.023996643410011564,-0.028243648614946923,-0.047350159871894074,-0.01456518088514771,-0.016893383578280328
2017-04-17,0.016384206855961495,-0.020055613397523903,-0.02361572977741315,-0.02092023879102747,-0.024148665271500204,-0.028232749198477878,-0.04681984608068128,-0.019798666007333324,-0.022889664290060174
2017-04-18,-0.0017882183105953496,-0.020055613397523903,-0.02361572977741315,-0.02097148227343229,-0.024230013381195056,-0.04230323357501765,-0.09832691931448677,-0.02728668044253687,-0.031489893600458056
2017-04-19,-0.009613720853384992,-0.020055613397523903,-0.02361572977741315,-0.021018417817617267,-0.024277896867190035,-0.028198798140665355,-0.045972098215451215,-0.019279870053040667,-0.02231602621877459
2017-04-20,0.007718013021027531,-0.020055613397523903,-0.02361572977741315,-0.021216129821969968,-0.024492572500514252,-0.027696500721382543,-0.04362630061209582,-0.022052707236321956,-0.02547773668296482
2017-04-21,-9.078382839196092e-05,-0.020055613397523903,-0.02361572977741315,-0.021191883503266413,-0.02447391381138082,-0.027214339117445734,-0.04208945415539441,-0.019015247921179194,-0.02199755854930544
2017-04-24,0.012334011377432997,-0.020055613397523903,-0.02361572977741315,-0.021221575605499126,-0.02450086775021554,-0.027541744048658647,-0.04305884032851926,-0.014974153466063749,-0.017366109621079377
2017-04-25,0.0063958135393366155,-0.020055613397523903,-0.02361572977741315,-0.021056832306844197,-0.024303036822934606,-0.026827740096506982,-0.04134122269328065,-0.02066942279548286,-0.023893708128019116
2017-04-26,-0.0023344100943104864,-0.020055613397523903,-0.02361572977741315,-0.021046007290613355,-0.02429596849663987,-0.026506071454954785,-0.040326712096646546,-0.017134006017179695,-0.0198532211137072
2017-04-27,0.0061398225244885425,-0.020055613397523903,-0.02361572977741315,-0.020955573882922872,-0.024197745790544647,-0.02675555129354041,-0.04140136559245841,-0.015109376676745733,-0.017538302556883583
2017-04-28,0.005410067277637657,-0.020055613397523903,-0.02361572977741315,-0.02081127476606573,-0.024047473339251887,-0.026818693843528765,-0.04208893570260525,-0.01453775963805369,-0.016894154400298067
2017-05-01,0.013470745672208958,-0.020062831535076653,-0.02361572977741315,-0.02063564891350962,-0.023863596513442324,-0.026808695875843752,-0.04258167119346013,-0.013667232507543717,-0.015910527236212873
2017-05-02,-0.0034166995070104554,-0.020062831535076653,-0.02361572977741315,-0.02041049556907316,-0.0236348767401932,-0.026593847315908425,-0.042317435891033754,-0.020232888872921528,-0.02344449832490884
2017-05-03,0.0006681693779628935,-0.020062831535076653,-0.02361572977741315,-0.020234139560167612,-0.023441030400558463,-0.026635072983639596,-0.04295306528531487,-0.016983221568374653,-0.019710347725968694
2017-05-04,-0.0009774129013110258,-0.020062831535076653,-0.02361572977741315,-0.020144688572463994,-0.023345152324152112,-0.026981499811033517,-0.04447792792209451,-0.014137134150788265,-0.01643799846190557
2017-05-05,-0.0024070507851019236,-0.020062831535076653,-0.02361572977741315,-0.020033047344037117,-0.02322399301737578,-0.027332724415227525,-0.04611455974878198,-0.01295893624761691,-0.015079333256522543
2017-05-08,0.006106299478140033,-0.020062831535076653,-0.02361572977741315,-0.019464958332435053,-0.022534192739363287,-0.02549475853679658,-0.04133478028605889,-0.013480758811699755,-0.015665980602925296
2017-05-09,0.0008940388600514318,-0.020062831535076653,-0.02361572977741315,-0.019464220584299516,-0.022535336333119785,-0.025323814528662877,-0.04074534515241915,-0.013688001939181843,-0.015908566863386438
2017-05-10,0.025248771193414375,-0.020062831535076653,-0.02361572977741315,-0.019263616596244083,-0.02231726361790521,-0.0256313136747088,-0.04246162511787987,-0.01245422819748387,-0.014493598527855648
2017-05-11,0.005675241976812259,-0.01898085592942619,-0.02325482289977575,-0.018954351685858475,-0.022016798760400434,-0.043371381544418344,-0.1132863900696166,-0.02432690906034208,-0.028135049784356235
2017-05-12,0.005894627362196927,-0.01898085592942619,-0.02325482289977575,-0.017334231841520498,-0.020115454218658405,-0.022116326371986652,-0.03352428918119391,-0.01448132942582923,-0.01683528569494379
2017-05-15,0.009239668346599146,-0.01703288995999685,-0.01832036026838023,-0.01608992532936809,-0.018728863971673414,-0.019874892928107183,-0.028519877180140773,-0.014281250184654516,-0.01663264102719941
2017-05-16,0.010857377779275455,-0.01703288995999685,-0.01832036026838023,-0.015793655345879943,-0.018375230436682103,-0.018984233034659497,-0.026683452137784933,-0.01435186040602392,-0.01671352897533454
2017-05-17,-0.032500797270101196,-0.01703288995999685,-0.01832036026838023,-0.015584107219324532,-0.018125246734078723,-0.018358570844493924,-0.025418389187368266,-0.015511875041898163,-0.01804257205151384
2017-05-18,0.013633280030101478,-0.01898085592942619,-0.02600030703803175,-0.017294232991375717,-0.020036388358194344,-0.021275822356130264,-0.03211816943674575,-0.03226971640563586,-0.03716934362383626
2017-05-19,0.0066053357444094945,-0.01898085592942619,-0.02600030703803175,-0.017354993653418426,-0.020121701485931322,-0.04244983889731733,-0.10977548293272915,-0.027031597882333138,-0.031172953741877247
2017-05-22,0.010615651645884723,-0.01898085592942619,-0.02600030703803175,-0.017303903244765436,-0.0200569369941868,-0.021114299430107022,-0.03159771734902803,-0.022022193062604684,-0.025428557602515833
2017-05-23,-0.0013072104821976601,-0.01898085592942619,-0.02600030703803175,-0.017334793322414988,-0.02010124302744869,-0.04275882890741854,-0.11032434903787798,-0.020580612587685173,-0.023785666290811833
2017-05-24,0.0048194770671086936,-0.01898085592942619,-0.02600030703803175,-0.01726057465054906,-0.02002071171827149,-0.020918391364163583,-0.031068636407573777,-0.017485460653191225,-0.02027060063145288
2017-05-25,0.0076139406729859175,-0.01895726679867455,-0.02600030703803175,-0.017169472875865694,-0.019920018220426657,-0.04306342858490328,-0.11399354127198899,-0.01657055450278575,-0.019235344155649044
2017-05-26,0.00465554123657127,-0.01895726679867455,-0.02600030703803175,-0.017170853131753927,-0.019926975399886138,-0.020605600895831577,-0.03035725269034284,-0.016433996858712392,-0.019085524581473647
2017-05-30,0.004463608210071344,-0.01898085592942619,-0.02600030703803175,-0.017169670118720417,-0.019935668421652442,-0.04537941298535123,-0.12428438614445017,-0.016212903154871325,-0.018841926562360535
